date,race_name,head,frame,house_num,pop,rank,distance,rank_dis
2023/12/24,有馬記念(G1),16,1,1,4,8,芝2500,0.7
2023/10/22,菊花賞(G1),17,7,14,1,3,芝3000,0.9
2023/09/18,朝日セントライト記念(G2),15,8,14,1,2,芝2200,0.3
2023/05/28,東京優駿(G1),18,3,5,1,2,芝2400,0.0
2023/04/16,皐月賞(G1),18,1,1,2,1,芝2000,-0.2
2023/01/15,京成杯(G3),9,4,4,2,1,芝2000,-0.4
2022/11/13,2歳新馬,9,5,5,1,1,芝1800,0.0
