date,race_name,head,frame,house_num,pop,rank,distance,rank_dis
2023/12/24,有馬記念(G1),16,7,14,12,14,芝2500,1.0
2023/10/09,京都大賞典(G2),14,5,7,5,1,芝2400,0.0
2023/09/03,新潟記念(G3),14,8,13,3,4,芝2000,0.3
2023/06/25,宝塚記念(G1),17,4,7,16,6,芝2200,0.4
2023/05/28,目黒記念(G2),18,3,6,2,5,芝2500,0.3
2023/02/12,京都記念(G2),13,6,8,4,3,芝2200,0.6
2023/01/15,日経新春杯(G2),14,7,12,4,3,芝2200,0.1
2022/10/23,菊花賞(G1),18,2,3,5,7,芝3000,1.2
2022/09/25,神戸新聞杯(G2),17,7,14,2,8,芝2200,1.1
2022/05/29,東京優駿(G1),18,3,6,5,5,芝2400,0.9
