date,race_name,head,frame,house_num,pop,rank,distance,rank_dis
2023/12/24,有馬記念(G1),16,3,5,2,1,芝2500,-0.1
2023/11/26,ジャパンC(G1),18,3,5,3,4,芝2400,0.9
2023/10/29,天皇賞(秋)(G1),11,3,3,2,7,芝2000,1.4
2023/03/25,ドバイターフ(G1),14, ,3, ,取,芝1800, 
2023/02/12,京都記念(G2),13,8,12,1,1,芝2200,-0.6
2022/10/02,凱旋門賞(G1),20, ,19,3,19,芝2400, 
2022/09/11,ニエル賞(G2),7, ,5,2,4,芝2400, 
2022/05/29,東京優駿(G1),18,7,13,3,1,芝2400,0.0
2022/04/17,皐月賞(G1),18,6,12,1,3,芝2000,0.3
2022/03/06,報知弥生ディープ記念(G2),11,6,7,1,2,芝2000,0.0
