date,race_name,head,frame,house_num,pop,rank,distance,rank_dis
2023/12/24,有馬記念(G1),16,2,4,6,3,芝2500,0.3
2023/11/26,ジャパンC(G1),18,2,3,4,5,芝2400,1.3
2023/09/24,産経賞オールカマー(G2),15,2,2,1,2,芝2200,0.2
2023/04/30,天皇賞(春)(G1),17,2,3,1,中,芝3200, 
2023/03/25,日経賞(G2),12,2,2,2,1,芝2500,-1.3
2022/12/25,有馬記念(G1),16,7,13,2,9,芝2500,1.7
2022/10/02,凱旋門賞(G1),20, ,11,1,11,芝2400, 
2022/06/26,宝塚記念(G1),17,3,6,2,1,芝2200,-0.3
2022/05/01,天皇賞(春)(G1),18,8,16,2,1,芝3200,-1.1
2022/03/26,日経賞(G2),15,6,11,1,1,芝2500,-0.1
